,Progress,social support_1,social support_2,social support_3,social support_4,social support_5,social support_6,social support_7,social support_8,social support_9,social support_10,social support_11,social support_12,online SS_1,online SS_2,online SS_3,online SS_4,online SS_5,online SS_6,online SS_7,online SS_8,online SS_9,online SS_10,online SS_11,online SS_12,online SS_13,online SS_14,online SS_15,online SS_16,online SS_17,online SS_18,online SS_19,online SS_20,online SS_21,online SS_22,online SS_23,online SS_24,mental wellbeing_1,mental wellbeing_2,mental wellbeing_3,mental wellbeing_4,mental wellbeing_5,mental wellbeing_6,mental wellbeing_7,mental wellbeing_8,mental wellbeing_9,mental wellbeing_10,mental wellbeing_11,mental wellbeing_12,mental wellbeing_13,mental wellbeing_14,mental wellbeing_15,stress scale_1,stress scale_2,stress scale_3,stress scale_4,stress scale_5,stress scale_6,stress scale_7,stress scale_8,stress scale_9,stress scale_10,stress scale_11,stress scale_12,social desirability_1,social desirability_2,social desirability_3,social desirability_4,social desirability_5,social desirability_6,s_desirability_mean_scores,social_support_mean,online_social_support_mean,mental_wellbeing_mean,stress_mean
152,69,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.6666666666666665,4.083333333333333,3.5,3.4,3.1666666666666665
154,100,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.1666666666666665,2.75,3.0833333333333335,2.533333333333333,3.0
155,100,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.6666666666666665,3.9166666666666665,2.4583333333333335,3.466666666666667,2.4166666666666665
156,100,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,2.1666666666666665,4.833333333333333,4.166666666666667,3.7333333333333334,2.9166666666666665
158,100,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,1.0,3.0,2.0,1.0,3.0,3.0,2.1666666666666665,4.833333333333333,3.3333333333333335,3.0,3.6666666666666665
159,100,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,3.0,2.0,4.0,3.8333333333333335,4.25,3.9583333333333335,4.2,2.75
160,100,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.3333333333333335,4.0,3.4583333333333335,3.8666666666666667,3.25
161,100,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,3.5833333333333335,3.0416666666666665,3.8,2.25
162,100,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,2.5,5.0,1.3333333333333333,1.1333333333333333,2.4166666666666665
163,100,3.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.3333333333333335,2.4166666666666665,3.2,3.3333333333333335
164,100,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,2.5,3.75,4.041666666666667,3.533333333333333,3.3333333333333335
165,100,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,3.1666666666666665,5.0,3.375,4.666666666666667,2.5833333333333335
173,69,4.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,1.0,2.0,2.5,2.8333333333333335,2.7083333333333335,4.0,2.75
175,69,5.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.5,3.0833333333333335,3.7916666666666665,4.2,2.5
